*    Row   *   EventNo * ParticleI *    Energy * Direction * Direction * Direction * Position_ * Position_ * Position_ *  costheta *     theta *       phi *
*       31 *        31 *      2112 * 0.0614757 * -0.416981 * -0.859165 * 0.2965835 * -266.7278 * -638.7486 * 721.70379 * 0.8591651 * 30.777027 * 144.57715 *
*       32 *        32 *      2112 * 0.6231949 * -0.889863 * -0.319169 * -0.325996 * -107.4919 * -265.7746 * 958.02365 * 0.3191699 * 71.387264 * 200.12002 *
*       33 *        33 *      2112 * 0.0013609 * 0.0388696 * -0.952330 * -0.302583 * 506.12670 * 242.17890 * -827.7591 * 0.9523300 * 17.762344 * 277.32009 *
*       34 *        34 *      2112 * 0.2414964 * 0.2247085 * -0.720384 * 0.6561644 * 30.620492 * 539.55533 * -841.3931 * 0.7203848 * 43.913739 * 71.095835 *
*       35 *        35 *      2112 * 0.0001191 * 0.0591015 * -0.983672 * 0.1699868 * -534.4910 * 844.45493 * 34.859817 * 0.9836724 * 10.367901 * 70.828286 *
*       36 *        36 *      2112 * 0.0003184 * -0.530617 * -0.700954 * 0.4765581 * 752.59973 * 657.58232 * -34.33855 * 0.7009542 * 45.496384 * 138.07238 *
*       37 *        37 *      2112 * 0.0323246 * 0.9552011 * 0.2568458 * -0.147040 * -709.1648 * -495.1534 * -501.9046 * -0.256845 * 104.88298 * 351.24874 *
*       38 *        38 *      2112 * 278.51179 * -0.599621 * -0.600476 * -0.529039 * -258.9098 * 907.24662 * -331.4653 * 0.6004764 * 53.095968 * 221.42159 *
*       39 *        39 *      2112 * 0.0059844 * 0.4891602 * -0.871167 * -0.042309 * -603.7025 * -617.4526 * 504.27716 * 0.8711671 * 29.405449 * 355.05657 *
*       40 *        40 *      2112 * 0.0043007 * -0.058651 * -0.998278 * -3.48e-05 * -882.6755 * 197.55635 * -426.4451 * 0.9982785 * 3.3623982 * 180.03404 *
*       41 *        41 *      2112 * 0.0005726 * -0.690530 * -0.723298 * -0.002493 * -219.2867 * -191.0121 * -956.7798 * 0.7232986 * 43.672503 * 180.20691 *
*       42 *        42 *      2112 * 0.0003886 * -0.426628 * -0.782722 * -0.453137 * -629.5395 * -614.1489 * -475.9212 * 0.7827224 * 38.489482 * 226.72592 *
