*    Row   *   EventNo * ParticleI *    Energy * Direction * Direction * Direction * Position_ * Position_ * Position_ *  costheta *     theta *       phi *
*     1860 *      1860 *      2112 * 0.0051618 * -0.298772 * -0.779940 * -0.549934 * 633.53505 *       750 * -53.03271 * 0.7799403 * 38.744888 * 241.48533 *
*     1861 *      1861 *      2112 * 1.3296455 * -0.490110 * -0.837061 * 0.2431472 * 131.97479 *       750 * 196.96957 * 0.8370612 * 33.168919 * 153.61365 *
*     1862 *      1862 *      2112 * 0.0963628 * -0.001763 * -0.951729 * 0.3069315 * -620.9093 *       750 * 191.00917 * 0.9517299 * 17.874714 * 90.329179 *
*     1863 *      1863 *      2112 * 0.0068594 * 0.4928013 * -0.843131 * -0.215119 * -749.7127 *       750 * -535.6671 * 0.8431312 * 32.527740 * 336.41753 *
*     1864 *      1864 *      2112 * 0.0018292 * 0.2047395 * -0.978472 * -0.025943 * -489.8243 *       750 * -500.9684 * 0.9784726 * 11.910102 * 352.77825 *
*     1865 *      1865 *      2112 * 0.0001427 * 0.2482670 * -0.351317 * 0.9027399 * 385.71788 *       750 * -550.6909 * 0.3513176 * 69.432070 * 74.622946 *
*     1866 *      1866 *      2112 * 0.0004446 * -0.730412 * -0.606976 * -0.313174 * -376.1810 *       750 * 37.079939 * 0.6069763 * 52.628804 * 203.20788 *
*     1867 *      1867 *      2112 * 105.73115 * -0.578947 * -0.812816 * 0.0644079 * -242.3437 *       750 * 431.21090 * 0.8128169 * 35.627925 * 173.65194 *
*     1868 *      1868 *      2112 * 0.0008148 * -0.012916 * -0.999835 * 0.0127053 * 699.67787 *       750 * -616.4760 * 0.9998358 * 1.0381566 * 135.47304 *
*     1869 *      1869 *      2112 * 0.0005266 * 0.4085707 * -0.843842 * 0.3478510 * -551.1742 *       750 * 690.39441 * 0.8438421 * 32.451904 * 40.410573 *
*     1870 *      1870 *      2112 * 0.0499558 * -0.303479 * -0.809822 * -0.502083 * 554.46742 *       750 * 64.293180 * 0.8098226 * 35.921396 * 238.84954 *
*     1871 *      1871 *      2112 * 0.0352057 * 0.2814684 * -0.908122 * -0.309983 * -643.2141 *       750 * -452.7172 * 0.9081222 * 24.752869 * 312.23983 *
*     1872 *      1872 *      2112 * 0.0579561 * -0.260019 * -0.963519 * 0.0634026 * 42.085383 *       750 * 59.502203 * 0.9635195 * 15.523758 * 166.29652 *
*     1873 *      1873 *      2112 * 0.0004144 * 0.3863816 * -0.893195 * 0.2300236 * 473.56259 *       750 * -650.4318 * 0.8931955 * 26.722408 * 30.766511 *
*     1874 *      1874 *      2112 * 0.0059189 * 0.5057807 * -0.161767 * -0.847358 * 177.66176 *       750 * 559.01831 * 0.1617678 * 80.690477 * 300.83259 *
*     1875 *      1875 *      2112 * 0.0003184 * 0.0741474 * -0.757734 * -0.648336 * -244.2114 *       750 * -715.4348 * 0.7577346 * 40.735104 * 276.52432 *
*     1876 *      1876 *      2112 * 0.0004928 * -0.827781 * -0.558859 * -0.049536 * -487.0009 *       750 * 151.77839 * 0.5588598 * 56.023015 * 183.42461 *
*     1877 *      1877 *      2112 * 1.2783095 * -0.026545 * -0.482190 * -0.875664 * -328.4578 *       750 * -338.7151 * 0.4821903 * 61.171442 * 268.26362 *
*     1878 *      1878 *      2112 * 4.9948052 * 0.9619314 * -0.228014 * -0.150655 * 62.739107 *       750 * 659.81567 * 0.2280148 * 76.819772 * 351.09879 *
*     1879 *      1879 *      2112 * 0.0012450 * -0.626745 * -0.775227 * 0.0788198 * -689.2065 *       750 * -146.5148 * 0.7752271 * 39.174372 * 172.83208 *
*     1880 *      1880 *      2112 * 0.0015166 * 0.2204586 * -0.971806 * 0.0836046 * -391.6514 *       750 * 638.28931 * 0.9718066 * 13.637549 * 20.768257 *
*     1881 *      1881 *      2112 * 0.0002553 * -0.331156 * -0.354929 * -0.874277 * 20.672429 *       750 * 191.07764 * 0.3549291 * 69.210897 * 249.25443 *
*     1882 *      1882 *      2112 * 0.0001278 * -0.743335 * -0.433752 * 0.5092261 * 645.60051 *       750 * -49.84651 * 0.4337528 * 64.294037 * 145.58667 *
*     1883 *      1883 *      2112 * 0.7039586 * 0.1291126 * -0.987235 * 0.0932484 * -661.2297 *       750 * 63.085421 * 0.9872358 * 9.1642367 * 35.837776 *
*     1884 *      1884 *      2112 * 0.0002741 * 0.3173104 * -0.948276 * -0.009286 * 303.26971 *       750 * 658.84652 * 0.9482762 * 18.508556 * 358.32363 *
*     1885 *      1885 *      2112 * 0.0003317 * -0.598304 * -0.795885 * -0.092731 * 370.49783 *       750 * -34.51550 * 0.7958850 * 37.261064 * 188.81024 *
*     1886 *      1886 *      2112 * 0.0119645 * 0.1188147 * -0.982651 * -0.142404 * -448.5659 *       750 * -63.17928 * 0.9826514 * 10.688055 * 309.83975 *
*     1887 *      1887 *      2112 * 0.0085215 * -0.675761 * -0.433932 * 0.5958599 * 702.73689 *       750 * -550.0122 * 0.4339325 * 64.282611 * 138.59541 *
*     1888 *      1888 *      2112 * 0.0063304 * 0.0319311 * -0.983012 * -0.180737 * 707.16179 *       750 * -101.3334 * 0.9830129 * 10.575803 * 280.01913 *
*     1889 *      1889 *      2112 * 0.0021565 * -0.161116 * -0.382928 * 0.9096191 * 300.43773 *       750 * -253.8587 * 0.3829287 * 67.484783 * 100.04437 *
*     1890 *      1890 *      2112 * 0.2965334 * -0.845391 * -0.532640 * 0.0400888 * -505.8325 *       750 * 382.11471 * 0.5326405 * 57.815959 * 177.28504 *
*     1891 *      1891 *      2112 * 0.0001446 * 0.1712628 * -0.740610 * -0.649742 * 0.2974263 *       750 * 610.32095 * 0.7406104 * 42.216557 * 284.76648 *
*     1892 *      1892 *      2112 * 0.0004119 * -0.555487 * 0.2222428 * 0.8012748 * -385.5177 *       750 * 185.74252 * -0.222242 * 102.84079 * 124.73183 *
*     1893 *      1893 *      2112 * 0.1203167 * 0.9650077 * -0.085859 * 0.2477663 * -725.2806 *       750 * -706.7202 * 0.0858596 * 85.074542 * 14.399694 *
*     1894 *      1894 *      2112 * 0.0070587 * 0.4471468 * -0.862467 * 0.2370863 * 472.50969 *       750 * -110.5987 * 0.8624672 * 30.405254 * 27.933446 *
*     1895 *      1895 *      2112 * 0.0006096 * -0.671466 * -0.708261 * 0.2179411 * 127.62870 *       750 * 711.15529 * 0.7082610 * 44.906392 * 162.01788 *
*     1896 *      1896 *      2112 * 0.0286163 * -0.621474 * 0.0833844 * 0.7789840 * 508.03026 *       750 * -522.0254 * -0.083384 * 94.783128 * 128.58292 *
*     1897 *      1897 *      2112 * 167.01253 * 0.5690619 * -0.732828 * -0.373003 * 244.46241 *       750 * -87.06360 * 0.7328280 * 42.875997 * 326.75633 *
*     1898 *      1898 *      2112 * 0.0034549 * -0.796213 * -0.587497 * -0.144535 * -491.7195 *       750 * -729.2715 * 0.5874970 * 54.020410 * 190.28879 *
*     1899 *      1899 *      2112 * 0.0001135 * 0.9711458 * -0.192370 * 0.1409588 * -374.1104 *       750 * -700.2176 * 0.1923704 * 78.908848 * 8.2586331 *
*     1900 *      1900 *      2112 * 0.0023527 * 0.1048008 * -0.963054 * -0.248076 * 533.49973 *       750 * -740.7246 * 0.9630548 * 15.622935 * 292.90176 *
*     1901 *      1901 *      2112 * 0.0078505 * -0.075596 * -0.944318 * 0.3202302 * -249.7724 *       750 * 616.77097 * 0.9443186 * 19.210047 * 103.28255 *
*     1902 *      1902 *      2112 * 0.3906244 * -0.247222 * -0.867585 * 0.4314811 * 300.39846 *       750 * 53.552386 * 0.8675858 * 29.820699 * 119.81105 *
*     1903 *      1903 *      2112 * 0.0187060 * -0.666815 * -0.664631 * -0.337079 * -570.7733 *       750 * -533.4778 * 0.6646315 * 48.345933 * 206.81688 *
*     1904 *      1904 *      2112 * 0.0237462 * 0.0290083 * -0.969463 * 0.2435126 * -586.6724 *       750 * 222.82591 * 0.9694638 * 14.195685 * 83.206683 *
*     1905 *      1905 *      2112 * 1.8065511 * -0.261708 * -0.959669 * -0.102677 * -699.9210 *       750 * 119.30441 * 0.9596698 * 16.327631 *  201.4218 *
*     1906 *      1906 *      2112 * 0.2807428 * -0.009748 * -0.334025 * 0.9425134 * 570.17616 *       750 * -132.4567 * 0.3340259 * 70.486681 * 90.592605 *
*     1907 *      1907 *      2112 * 0.0003326 * 0.1534413 * -0.931708 * 0.3292029 * -376.0073 *       750 * 460.72452 * 0.9317087 * 21.297238 * 65.009803 *
*     1908 *      1908 *      2112 * 0.0001253 * -0.599711 * -0.577949 * -0.553462 * 535.08935 *       750 * 318.44880 * 0.5779490 * 54.693581 * 222.70332 *
*     1909 *      1909 *      2112 * 0.0004335 * 0.0648440 * -0.969421 * 0.2366783 * -646.3173 *       750 * 636.41798 * 0.9694217 * 14.205502 * 74.678343 *
*     1910 *      1910 *      2112 * 0.0033717 * 0.1017008 * -0.974875 * -0.198177 * -670.7990 *       750 * 120.74191 * 0.9748757 * 12.870562 * 297.16604 *
*     1911 *      1911 *      2112 * 0.0009161 * -0.364527 * -0.666770 * 0.6500284 * 601.97491 *       750 * 34.325525 * 0.6667703 * 48.181713 * 119.28313 *
*     1912 *      1912 *      2112 * 1.0316412 * 0.6102775 * -0.728692 * -0.310754 * 453.77690 *       750 * 162.44839 * 0.7286927 * 43.223086 * 333.01474 *
*     1913 *      1913 *      2112 * 0.0022721 * 0.0728461 * -0.997049 * 0.0242077 * 294.98414 *       750 * 377.37087 * 0.9970493 * 4.4025359 * 18.382305 *
*     1914 *      1914 *      2112 * 352.11086 * 0.0963022 * -0.994158 * 0.0487324 * -403.5705 *       750 * 589.82600 * 0.9941584 * 6.1960258 * 26.841082 *
*     1915 *      1915 *      2112 * 0.0032524 * -0.467536 * -0.795393 * 0.3856931 * 164.71972 *       750 * 739.89208 * 0.7953931 * 37.307596 * 140.47917 *
*     1916 *      1916 *      2112 * 1.0893758 * 0.3588965 * -0.903043 * 0.2360197 * 711.87912 *       750 * 190.05933 * 0.9030437 * 25.438916 * 33.329963 *
*     1917 *      1917 *      2112 * 1.6710343 * 0.1903123 * 0.2687245 * 0.9442289 * -728.5487 *       750 * 102.66497 * -0.268724 * 105.58838 * 78.604526 *
*     1918 *      1918 *      2112 * 103.19927 * -0.657187 * -0.354709 * 0.6650449 * -300.4965 *       750 * -217.7766 * 0.3547099 * 69.224328 * 134.65954 *
*     1919 *      1919 *      2112 * 0.0011425 * 0.5667568 * -0.746766 * -0.348033 * -500.5226 *       750 * -268.4353 * 0.7467660 * 41.688981 * 328.44681 *
*     1920 *      1920 *      2112 * 0.0002017 * 0.5691827 * -0.754201 * 0.3274314 * 646.59340 *       750 * 318.15033 * 0.7542012 * 41.044372 * 29.910353 *
*     1921 *      1921 *      2112 * 0.0001233 * 0.7592007 * 0.0626389 * -0.647835 * -550.3519 *       750 * -423.1331 * -0.062638 * 93.591299 * 319.52546 *
*     1922 *      1922 *      2112 * 0.0003909 * -0.785013 * -0.619233 * -0.017435 * -268.3608 *       750 * 49.634044 * 0.6192336 * 51.739803 * 181.27235 *
*     1923 *      1923 *      2112 * 0.0004101 * -0.862975 * 0.1994141 * 0.4642284 * 666.31409 *       750 * 356.21537 * -0.199414 * 101.50270 * 151.72243 *
*     1924 *      1924 *      2112 * 0.0001273 * -0.513276 * -0.673191 * -0.532317 * 285.72316 *       750 * -231.5044 *  0.673191 * 47.686172 * 226.04327 *
*     1925 *      1925 *      2112 * 0.0006036 * 0.5356736 * -0.427350 * 0.7283030 * 474.21605 *       750 * -269.5132 * 0.4273504 * 64.700466 * 53.665171 *
*     1926 *      1926 *      2112 * 60.290726 * 0.3622622 * -0.864783 * 0.3477302 * 109.99675 *       750 * 602.72598 * 0.8647830 * 30.142053 * 43.827443 *
*     1927 *      1927 *      2112 * 0.0024457 * 0.1457360 * -0.795154 * -0.588633 * -487.7310 *       750 * 198.33054 * 0.7951548 * 37.330119 * 283.90585 *
*     1928 *      1928 *      2112 * 0.0007611 * -0.744679 * -0.407187 * 0.5288203 * 408.67256 *       750 * 722.84378 * 0.4071875 * 65.971715 * 144.62023 *
*     1929 *      1929 *      2112 * 0.0028878 * -0.240488 * -0.352386 * -0.904427 * 702.82349 *       750 * 244.89422 * 0.3523862 * 69.366662 * 255.10950 *
*     1930 *      1930 *      2112 * 0.0046279 * 0.1859242 * -0.908999 * -0.373030 * 438.02005 *       750 * 406.43024 * 0.9089998 * 24.632501 * 296.49240 *
*     1931 *      1931 *      2112 * 0.2999676 * 0.7778905 * 0.0767138 * -0.623699 * 85.749335 *       750 * -676.1202 * -0.076713 * 94.399701 * 321.27794 *
*     1932 *      1932 *      2112 * 0.0008851 * 0.3953357 * -0.149726 * -0.906251 * 609.30091 *       750 * -604.1721 * 0.1497263 * 81.388931 * 293.56836 *
*     1933 *      1933 *      2112 * 0.0002036 * 0.6252152 * -0.420297 * 0.6576141 * -113.1793 *       750 * 613.70902 * 0.4202970 * 65.146660 * 46.446742 *
*     1934 *      1934 *      2112 * 0.0011185 * 0.2429385 * -0.919305 * -0.309608 * -653.6109 *       750 * -476.7284 * 0.9193058 * 23.175185 * 308.11996 *
*     1935 *      1935 *      2112 * 0.2367392 * -0.350545 * 0.2535664 * -0.901566 * -547.9505 *       750 * -214.3118 * -0.253566 * 104.68865 * 248.75302 *
*     1936 *      1936 *      2112 * 0.0003885 * 0.2184927 * 0.4220776 * 0.8798359 * 128.50791 *       750 * -250.2525 * -0.422077 * 114.96582 * 76.053656 *
*     1937 *      1937 *      2112 * 0.0002251 * -0.664905 * 0.3976665 * 0.6322668 * 597.90855 *       750 * -707.9832 * -0.397666 * 113.43238 * 136.44135 *
*     1938 *      1938 *      2112 * 0.0001265 * 0.1272780 * -0.940337 * -0.315540 * -5.852061 *       750 * 291.69410 * 0.9403374 * 19.891691 * 291.96743 *
*     1939 *      1939 *      2112 * 267.29307 * 0.6400768 * -0.628603 * -0.441768 * 393.39559 *       750 * 309.78331 * 0.6286033 * 51.052847 * 325.38731 *
*     1940 *      1940 *      2112 * 0.0002625 * 0.1877635 * -0.949074 * -0.252986 * -42.32108 *       750 * -419.6925 * 0.9490747 * 18.363893 * 306.58240 *
*     1941 *      1941 *      2112 * 0.4116716 * 0.1071375 * -0.980453 * 0.1650220 * -522.5673 *       750 * 298.96672 * 0.9804536 * 11.346995 * 57.007097 *
*     1942 *      1942 *      2112 * 2.4883150 * 0.5410965 * -0.404442 * -0.737320 * 0.2861286 *       750 * 248.95386 * 0.4044422 * 66.143818 *  306.2738 *
*     1943 *      1943 *      2112 * 0.0048647 * -0.607304 * -0.715048 * -0.346248 * 10.610615 *       750 * -699.1697 * 0.7150480 * 44.352865 * 209.68920 *
*     1944 *      1944 *      2112 * 0.0010358 * 0.3575511 * -0.910396 * -0.208172 * -401.2134 *       750 * -573.5810 * 0.9103963 * 24.439814 * 329.79134 *
*     1945 *      1945 *      2112 * 0.6573395 * 0.1750223 * -0.824026 * 0.5388397 * -56.49645 *       750 * -298.2865 * 0.8240260 * 34.510126 * 72.005511 *
*     1946 *      1946 *      2112 * 13.448898 * 0.9082124 * -0.385161 * 0.1637094 * -36.69038 *       750 * -601.9814 * 0.3851614 * 67.346238 * 10.218100 *
*     1947 *      1947 *      2112 * 0.0283214 * -0.327707 * -0.904350 * 0.2734191 * -361.6804 *       750 * -328.4660 * 0.9043503 * 25.264068 * 140.16046 *
*     1948 *      1948 *      2112 * 0.5398053 * -0.154402 * -0.976225 * -0.152131 * -483.5311 *       750 * 258.24994 * 0.9762252 * 12.518705 * 224.57548 *
*     1949 *      1949 *      2112 * 90.425683 * 0.0452037 * -0.996937 * 0.0638069 * 394.01986 *       750 * -93.67204 * 0.9969379 * 4.4849141 * 54.684492 *
*     1950 *      1950 *      2112 * 0.0616454 * -0.996665 * 0.0098767 * 0.0809954 * -587.6526 *       750 * 0.2693288 * -0.009876 * 90.565904 * 175.35398 *
*     1951 *      1951 *      2112 * 0.0010960 * 0.4210626 * -0.896582 * -0.137279 * 234.26926 *       750 * -457.4113 * 0.8965827 * 26.287547 * 341.94239 *
*     1952 *      1952 *      2112 * 0.0003187 * -0.568492 * -0.739945 * -0.359579 * 563.91989 *       750 * 696.52859 * 0.7399455 * 42.273219 * 212.31394 *
*     1953 *      1953 *      2112 * 0.0001990 * -0.060517 * -0.032581 * 0.9976352 * -662.1885 *       750 * 527.31359 * 0.0325813 * 88.132895 * 93.471334 *
*     1954 *      1954 *      2112 * 0.0008234 * 0.0575043 * -0.960017 * -0.273971 * -668.2088 *       750 * -600.9929 * 0.9600171 * 16.256686 * 281.85384 *
*     1955 *      1955 *      2112 * 0.0006037 * 0.1694320 * -0.923352 * -0.344547 * 399.16309 *       750 * 345.43732 * 0.9233526 * 22.578756 * 296.18578 *
*     1956 *      1956 *      2112 * 0.0006192 * 0.7253826 * 0.2333966 * -0.647569 * 445.08753 *       750 * -39.76664 * -0.233396 * 103.49712 * 318.24382 *
*     1957 *      1957 *      2112 * 0.0003543 * 0.1384374 * -0.849097 * -0.509772 * -663.5930 *       750 * 487.18004 * 0.8490978 * 31.886323 * 285.19322 *
*     1958 *      1958 *      2112 * 0.0012851 * 0.4793930 * 0.4429121 * 0.7576352 * -280.9392 *       750 * -520.6661 * -0.442912 * 116.28983 * 57.676451 *
*     1959 *      1959 *      2112 * 0.0001439 * -0.130354 * -0.987661 * 0.0867852 * 57.518247 *       750 * 206.63632 * 0.9876618 * 9.0096904 * 146.34582 *
*     1960 *      1960 *      2112 * 0.0015988 * 0.2214053 * -0.974921 * 0.0225255 * -267.3827 *       750 * -79.41461 * 0.9749216 * 12.858749 * 5.8092352 *
*     1961 *      1961 *      2112 * 0.0005897 * 0.5207146 * -0.234989 * 0.8207534 * 284.98424 *       750 * -87.92371 * 0.2349895 * 76.408994 * 57.607528 *
*     1962 *      1962 *      2112 * 0.0006972 * -0.058329 * -0.997154 * 0.0477518 * 722.59551 *       750 * -474.2398 * 0.9971546 * 4.3232083 * 140.69416 *
*     1963 *      1963 *      2112 * 0.0017892 * -0.475486 * -0.875455 * 0.0865472 * -747.9958 *       750 * 158.03561 * 0.8754553 * 28.901083 * 169.68406 *
*     1964 *      1964 *      2112 * 0.0001134 * -0.336822 * -0.531128 * 0.7774656 * -289.4023 *       750 * -91.46222 * 0.5311289 * 57.918234 * 113.42374 *
*     1965 *      1965 *      2112 * 0.0058114 * -0.892022 * -0.092524 * -0.442418 * -113.2091 *       750 * 285.35371 * 0.0925243 * 84.691151 * 206.38015 *
*     1966 *      1966 *      2112 * 0.0005163 * -0.447219 * -0.224798 * 0.8657136 * -190.1806 *       750 * -740.4492 * 0.2247982 * 77.008982 * 117.32046 *
*     1967 *      1967 *      2112 * 0.0001672 * 0.1007036 * -0.994804 * 0.0149492 * 310.13606 *       750 * 603.92546 * 0.9948041 * 5.8432449 * 8.4437975 *
*     1968 *      1968 *      2112 * 0.0002083 * -0.283076 * -0.959035 * 0.0108386 * 718.25705 *       750 * 370.20184 * 0.9590359 * 16.456322 * 177.80728 *
*     1969 *      1969 *      2112 * 0.0034515 * 0.0114218 * -0.999070 * 0.0415669 * -646.0263 *       750 * 350.06056 * 0.9990704 * 2.4706540 * 74.635344 *
*     1970 *      1970 *      2112 * 0.0136565 * 0.2666803 * -0.942385 * -0.201968 * -228.8749 *       750 * -696.1554 * 0.9423855 * 19.543889 * 322.86184 *
*     1971 *      1971 *      2112 * 0.0002390 * 0.4593420 * -0.460869 * -0.759344 * -670.6622 *       750 * 531.66893 * 0.4608697 * 62.556753 * 301.17055 *
*     1972 *      1972 *      2112 * 0.0331387 * -0.503102 * -0.570737 * 0.6489585 * -521.4089 *       750 * 25.051745 * 0.5707373 *  55.19834 * 127.78446 *
*     1973 *      1973 *      2112 * 0.4321547 * -0.316406 * -0.794838 * -0.517801 * -406.3135 *       750 * 543.46346 * 0.7948389 * 37.359955 * 238.57264 *
*     1974 *      1974 *      2112 * 0.0055977 * -0.006150 * -0.998514 * -0.054146 * -411.8251 *       750 * -632.8980 * 0.9985140 * 3.1238546 * 263.51976 *
*     1975 *      1975 *      2112 * 0.3343035 * 0.8372917 * 0.3509221 * 0.4192806 * 574.77644 *       750 * -647.0339 * -0.350922 * 110.54372 * 26.599790 *
*     1976 *      1976 *      2112 * 0.1105400 * -0.666694 * -0.705017 * -0.241803 * 567.41971 *       750 * -285.0385 * 0.7050177 * 45.169018 * 199.93518 *
*     1977 *      1977 *      2112 * 142.58479 * 0.3367776 * -0.934008 * 0.1192039 * 152.24979 *       750 * 523.45223 * 0.9340081 * 20.931510 * 19.491638 *
*     1978 *      1978 *      2112 * 0.6798725 * -0.590670 * -0.796293 * 0.1304812 * -610.2150 *       750 * -134.5215 * 0.7962935 * 37.222396 * 167.54319 *
*     1979 *      1979 *      2112 * 0.0471901 * 0.3728020 * -0.887880 * -0.269603 * -322.8128 *       750 * -135.3808 * 0.8878808 * 27.391849 * 324.12620 *
*     1980 *      1980 *      2112 * 0.0001503 * 0.4367532 * 0.0890719 * 0.8951607 * 732.06706 *       750 * 502.68464 * -0.089071 * 95.110218 * 63.992027 *
*     1981 *      1981 *      2112 * 0.0004149 * 0.2681434 * 0.3399705 * 0.9013984 * 598.93691 *       750 * -536.0875 * -0.339970 * 109.87508 * 73.433575 *
*     1982 *      1982 *      2112 * 0.0009178 * 0.4202559 * -0.900907 * -0.108403 * -745.9832 *       750 * -281.1886 * 0.9009071 * 25.722430 * 345.53610 *
*     1983 *      1983 *      2112 * 1.9760369 * 0.3375657 * -0.636015 * 0.6939266 * -466.4960 *       750 * 417.09468 * 0.6360150 * 50.504689 * 64.059050 *
*     1984 *      1984 *      2112 * 0.0025025 * -0.111105 * -0.986018 * 0.1241854 * 218.15012 *       750 * 248.35587 * 0.9860189 * 9.5921129 * 131.81828 *
*     1985 *      1985 *      2112 * 0.0637739 * 0.2504944 * -0.578203 * -0.776487 * -347.5396 *       750 * 50.289568 * 0.5782035 * 54.675713 * 287.87966 *
*     1986 *      1986 *      2112 * 1.0393642 * 0.3005733 * -0.265094 * 0.9161772 * 271.21219 *       750 * 654.85030 * 0.2650942 * 74.627449 * 71.836716 *
*     1987 *      1987 *      2112 * 0.0050407 * -0.078902 * -0.985258 * 0.1517912 * -32.32735 *       750 * 113.40004 * 0.9852582 * 9.8502405 * 117.46571 *
*     1988 *      1988 *      2112 * 0.0140217 * 0.4098236 * -0.782159 * -0.469331 * -688.8051 *       750 * -59.47143 * 0.7821591 * 38.541311 * 311.12771 *
*     1989 *      1989 *      2112 * 0.0004471 * 0.4456101 * -0.874690 * -0.190650 * 259.70274 *       750 * 314.63027 * 0.8746908 * 28.991594 * 336.83675 *
*     1990 *      1990 *      2112 * 0.8526104 * 0.5731490 * -0.810203 * -0.122763 * 550.96861 *       750 * 269.38447 * 0.8102032 * 35.884207 * 347.91042 *
*     1991 *      1991 *      2112 * 6.7940039 * -0.556941 * -0.000519 * 0.8305517 * -429.9756 *       750 * -74.34582 * 0.0005197 * 89.970220 * 123.84453 *
*     1992 *      1992 *      2112 * 0.0008527 * 0.0909687 * -0.995840 * 0.0051901 * 354.34490 *       750 * 16.323115 * 0.9958402 * 5.2278542 * 3.2654542 *
*     1993 *      1993 *      2112 * 0.0016157 * 0.2314172 * -0.926884 * 0.2955182 * 689.50520 *       750 * -134.7768 * 0.9268845 * 22.045727 * 51.935868 *
*     1994 *      1994 *      2112 * 0.0003565 * 0.7535260 * -0.606346 * 0.2540512 * -721.7659 *       750 * -185.3834 * 0.6063467 * 52.674182 * 18.631528 *
*     1995 *      1995 *      2112 * 0.0025026 * 0.6477032 * -0.284279 * 0.7068704 * 621.80880 *       750 * 385.63647 * 0.2842792 * 73.484226 * 47.501066 *
*     1996 *      1996 *      2112 * 0.0038465 * -0.435570 * -0.495333 * -0.751613 * 183.13601 *       750 * -582.5476 * 0.4953333 * 60.308265 * 239.90712 *
*     1997 *      1997 *      2112 * 0.0002316 * -0.332949 * -0.938278 * -0.093689 * 73.904322 *       750 * 581.73556 * 0.9382786 * 20.235542 * 195.71620 *
*     1998 *      1998 *      2112 * 0.0016159 * -0.910188 * -0.135796 * -0.391299 * 118.43212 *       750 * -732.0593 * 0.1357966 * 82.195308 * 203.26337 *
*     1999 *      1999 *      2112 * 0.0039171 * -0.339652 * -0.763641 * -0.549079 * -194.5295 *       750 * -530.3324 * 0.7636414 * 40.213723 * 238.25968 *
*     2000 *      2000 *      2112 * 0.0001360 * -0.314589 * -0.422025 * 0.8502515 * 484.65522 *       750 * -386.1730 * 0.4220258 * 65.037445 * 110.30426 *
*     2001 *      2001 *      2112 * 0.0013287 * -0.373429 * 0.9266097 * -0.044095 * 288.54812 *       750 * -106.7683 * -0.926609 * 157.91236 * 186.73448 *
*     2002 *      2002 *      2112 * 388.79417 * -0.133516 * -0.671504 * 0.7288727 * -505.2005 *       750 * -608.0512 * 0.6715041 * 47.816739 * 100.38050 *
*     2003 *      2003 *      2112 * 0.0060526 * -0.001657 * -0.754052 * 0.6568125 * 178.76395 *       750 * -111.6483 * 0.7540520 * 41.057387 * 90.144581 *
*     2004 *      2004 *      2112 * 2.0896183 * -0.022521 * -0.997821 * -0.062014 * 105.37440 *       750 * -380.0291 * 0.9978211 * 3.7829847 * 250.04066 *
*     2005 *      2005 *      2112 * 0.0027658 * 0.1057630 * -0.417225 * 0.9026276 * -4.175995 *       750 * 188.95352 * 0.4172258 * 65.340431 * 83.316989 *
*     2006 *      2006 *      2112 * 0.0006002 * -0.176056 * -0.978261 * -0.109586 * -467.2935 *       750 * 28.502530 * 0.9782611 * 11.968662 * 211.90018 *
*     2007 *      2007 *      2112 * 0.0004972 * 0.7837491 * 0.2578812 * -0.565008 * 463.79440 *       750 * -702.2456 * -0.257881 * 104.94438 * 324.21198 *
*     2008 *      2008 *      2112 * 0.0031391 * -0.129424 * -0.991585 * 0.0025807 * -18.88964 *       750 * 359.02437 * 0.9915858 * 7.4378342 * 178.85764 *
*     2009 *      2009 *      2112 * 7.2883110 * -0.074363 * -0.972117 * 0.2223914 * 231.76051 *       750 * -447.5496 * 0.9721173 * 13.561847 * 108.48884 *
*     2010 *      2010 *      2112 * 63.265943 * -0.050790 * -0.989658 * 0.1341542 * -484.8179 *       750 * -142.8671 * 0.9896580 * 8.2473551 * 110.73652 *
*     2011 *      2011 *      2112 * 0.0197257 * 0.2126545 * -0.887171 * -0.409518 * -89.16111 *       750 * -295.5252 * 0.8871710 * 27.480106 * 297.44192 *
*     2012 *      2012 *      2112 * 0.0001896 * -0.694844 * -0.703624 * -0.148674 * 66.383825 *       750 * 436.99204 * 0.7036243 * 45.281485 * 192.07739 *
*     2013 *      2013 *      2112 * 0.0001070 * -0.300453 * -0.858695 * -0.415174 * 673.26831 *       750 * 29.809852 * 0.8586954 * 30.829579 * 234.10753 *
*     2014 *      2014 *      2112 * 0.0005288 * 0.5575060 * -0.593622 * -0.580344 * -485.8842 *       750 * 701.95377 * 0.5936221 * 53.585529 * 313.85013 *
*     2015 *      2015 *      2112 * 0.0019136 * 0.8160798 * 0.5588077 * -0.147470 * 380.08012 *       750 * 304.28692 * -0.558807 * 123.97338 * 349.75682 *
*     2016 *      2016 *      2112 * 0.0027495 * -0.034266 * -0.994675 * 0.0971935 * -204.5233 *       750 * 584.82715 * 0.9946754 * 5.9152449 * 109.42059 *
*     2017 *      2017 *      2112 * 0.0099314 * 0.4744996 * -0.855274 * 0.2082209 * 733.17544 *       750 * -306.3473 * 0.8552742 * 31.209951 * 23.692924 *
*     2018 *      2018 *      2112 * 0.0011811 * -0.090107 * -0.976255 * 0.1969913 * -32.45137 *       750 * 457.18270 * 0.9762556 * 12.510677 * 114.58018 *
