*    Row   *   EventNo * ParticleI *    Energy * Direction * Direction * Direction * Position_ * Position_ * Position_ *  costheta *     theta *       phi *
*       36 *        36 *      2112 * 0.0277495 * 0.1646516 * -0.840501 * 0.5161849 * 393.92845 *       750 * -7.817524 * 0.8405016 * 32.806874 * 72.308454 *
*       37 *        37 *      2112 * 0.0003886 * 0.0906279 * -0.931646 * 0.3518836 * 749.93333 *       750 * -76.58842 * 0.9316461 * 21.307113 * 75.557302 *
*       38 *        38 *      2112 * 0.0015980 * 0.0458917 * 0.2099793 * -0.976628 * 682.45013 *       750 * 481.81301 * -0.209979 * 102.12114 * 272.69034 *
*       39 *        39 *      2112 * 0.0003596 * -0.239973 * -0.901151 * -0.361023 * 651.59100 *       750 * 122.21673 * 0.9011519 * 25.690101 * 236.38783 *
*       40 *        40 *      2112 * 0.0001544 * 0.6751511 * 0.1935237 * 0.7118423 * -25.51259 *       750 * -711.4489 * -0.193523 * 101.15849 * 46.515335 *
*       41 *        41 *      2112 * 0.0284908 * 0.6102822 * -0.764887 * -0.206163 * -414.9934 *       750 * -445.8353 * 0.7648871 * 40.103047 * 341.33420 *
*       42 *        42 *      2112 * 6.1128119 * -0.758817 * -0.293014 * 0.5816683 * 55.637865 *       750 * -98.52624 * 0.2930147 * 72.961466 * 142.52819 *
*       43 *        43 *      2112 * 0.0004017 * -0.017837 * -0.977633 * -0.209558 * 609.35415 *       750 * -664.0327 * 0.9776333 * 12.140907 * 265.13471 *
*       44 *        44 *      2112 * 0.2525696 * 0.2034151 * -0.979006 * 0.0129618 * 434.90877 *       750 * 720.84844 * 0.9790067 * 11.760883 * 3.6460200 *
*       45 *        45 *      2112 * 0.0008335 * 0.4912017 * 0.3697813 * 0.7886587 * -356.4593 *       750 * 566.49105 * -0.369781 * 111.70213 * 58.084036 *
*       46 *        46 *      2112 * 0.0026246 * -0.260570 * -0.863118 * 0.4325851 * 280.16968 *       750 * 467.27381 * 0.8631181 * 30.331487 * 121.06297 *
*       47 *        47 *      2112 * 0.8105838 * -0.590482 * -0.727644 * -0.349091 * -384.3708 *       750 * 659.43317 * 0.7276440 * 43.310754 * 210.59143 *
*       48 *        48 *      2112 * 0.0151531 * 0.2934783 * -0.727929 * -0.619668 * 273.22364 *       750 * 542.49179 * 0.7279296 * 43.286887 * 295.34249 *
*       49 *        49 *      2112 * 0.0035738 * 0.9311028 * -0.125233 * 0.3425842 * 664.32543 *       750 * 62.049547 * 0.1252337 * 82.805744 * 20.200275 *
*       50 *        50 *      2112 * 0.0429827 * 0.9638205 * -0.174389 * -0.201589 * 333.80720 *       750 * 292.82259 * 0.1743896 * 79.956861 * 348.18651 *
*       51 *        51 *      2112 * 0.0806033 * 0.5872162 * -0.476315 * 0.6544471 * 738.85148 *       750 * -86.04317 * 0.4763150 * 61.554993 * 48.099301 *
*       52 *        52 *      2112 * 0.0195870 * -0.658743 * -0.673756 * -0.334827 * 527.93514 *       750 * 563.81086 * 0.6737562 * 47.642362 * 206.94340 *
*       53 *        53 *      2112 * 0.0011221 * -0.938824 * -0.343701 * 0.0218708 * -308.3347 *       750 * 445.75334 * 0.3437011 * 69.897470 * 178.66547 *
*       54 *        54 *      2112 * 2.1180381 * -0.428847 * -0.802779 * -0.414288 * -743.7866 *       750 * -395.2741 * 0.8027794 * 36.603655 * 224.01075 *
*       55 *        55 *      2112 * 0.0002890 * 0.9512789 * -0.158462 * 0.2644955 * 440.09232 *       750 * 575.22230 * 0.1584626 * 80.882324 * 15.538167 *
*       56 *        56 *      2112 * 0.0004532 * 0.5142058 * -0.857534 * 0.0150414 * 502.22880 *       750 * -304.1719 * 0.8575348 * 30.959085 * 1.6755290 *
*       57 *        57 *      2112 * 0.0006803 * -0.679757 * -0.419532 * 0.6015998 * 254.63641 *       750 * -699.3473 * 0.4195324 * 65.194929 * 138.49048 *
*       58 *        58 *      2112 * 0.0023122 * -0.274709 * -0.960950 * 0.0332880 * 52.227740 *       750 * -533.9695 * 0.9609508 * 16.064479 * 173.09085 *
*       59 *        59 *      2112 * 0.2433678 * 0.3729185 * -0.417792 * 0.8284812 * 272.63433 *       750 * -415.1891 * 0.4177924 * 65.304707 * 65.766391 *
*       60 *        60 *      2112 * 2.8742520 * -0.414675 * -0.867766 * 0.2739096 * -663.9628 *       750 * 464.58677 * 0.8677660 * 29.799935 * 146.55365 *
*       61 *        61 *      2112 * 0.0001329 * 0.0014289 * -0.999950 * -0.009827 * -159.9995 *       750 * 307.55498 * 0.9999506 * 0.5689850 * 278.27351 *
*       62 *        62 *      2112 * 0.1292157 * 0.5963639 * -0.707841 * 0.3785642 * -476.9035 *       750 * -290.7435 * 0.7078411 * 44.940463 * 32.406858 *
*       63 *        63 *      2112 * 0.0050253 * -0.382383 * -0.773576 * 0.5053331 * 102.20215 *       750 * -191.3064 * 0.7735767 * 39.323827 * 127.11466 *
*       64 *        64 *      2112 * 0.0001951 * 0.0886644 * -0.991571 * -0.094471 * 93.804258 *       750 * -658.4071 * 0.9915713 * 7.4442790 * 313.18371 *
*       65 *        65 *      2112 * 0.0049264 * 0.0040190 * -0.999887 * 0.0144417 * 357.55969 *       750 * 69.991181 * 0.9998876 * 0.8589253 * 74.448475 *
*       66 *        66 *      2112 * 0.0001069 * 0.5535430 * -0.815887 * 0.1670870 * -211.0322 *       750 * -695.6633 * 0.8158872 * 35.324810 * 16.796446 *
*       67 *        67 *      2112 * 0.0033484 * 0.0796268 * -0.019725 * -0.996629 * -246.1817 *       750 * -239.7979 * 0.0197250 * 88.869762 * 274.56800 *
*       68 *        68 *      2112 * 0.0017312 * 0.1249166 * -0.848410 * 0.5143891 * 298.85800 *       750 * -364.1025 * 0.8484100 * 31.960839 * 76.350256 *
*       69 *        69 *      2112 * 0.1549745 * 0.4737570 * -0.869692 * -0.138522 * -87.62080 *       750 * 49.455730 * 0.8696929 * 29.577022 * 343.70156 *
*       70 *        70 *      2112 * 38.344370 * 0.0604722 * -0.886879 * -0.458026 * -116.7273 *       750 * -432.4623 * 0.8868793 * 27.516306 * 277.52114 *
*       71 *        71 *      2112 * 1.0340613 * -0.061547 * -0.527094 * -0.847574 * -7.635907 *       750 * 622.75481 * 0.5270949 * 58.190617 * 265.84672 *
*       72 *        72 *      2112 * 0.2974830 * -0.591991 * -0.239375 * 0.7695746 * 388.17258 *       750 * 174.86225 * 0.2393758 * 76.150294 * 127.56911 *
*       73 *        73 *      2112 * 495.18965 * 0.1413984 * -0.837597 * -0.527670 * -222.9957 *       750 * 220.80841 * 0.8375979 * 33.112664 * 285.00097 *
*       74 *        74 *      2112 * 0.0387018 * 0.0628807 * -0.995227 * -0.074627 * 221.38075 *       750 * 440.30667 * 0.9952270 * 5.6002306 * 310.11744 *
*       75 *        75 *      2112 * 0.0448891 * 0.5040525 * -0.064681 * 0.8612475 * -79.57922 *       750 * -412.0341 * 0.0646813 *  86.29144 * 59.661328 *
*       76 *        76 *      2112 * 0.0003580 * -0.597553 * -0.801280 * 0.0296513 * -280.8331 *       750 * -734.7290 * 0.8012807 * 36.747424 * 177.15923 *
*       77 *        77 *      2112 * 0.0059965 * -0.288239 * -0.863267 * 0.4143509 * 357.12940 *       750 * 90.924569 * 0.8632677 * 30.314508 * 124.82406 *
*       78 *        78 *      2112 * 0.4609704 * -0.225906 * 0.5403265 * -0.810563 * 720.44227 *       750 * -458.5645 * -0.540326 * 122.70587 * 254.42668 *
*       79 *        79 *      2112 * 0.0002867 * -0.020307 * -0.990415 * -0.136616 * -640.7645 *       750 * 668.42250 * 0.9904158 * 7.9389359 * 261.54503 *
*       80 *        80 *      2112 * 2.0103612 * 0.4775828 * -0.812953 * -0.333198 * -353.4318 *       750 * -189.8814 * 0.8129534 * 35.614496 * 325.09740 *
*       81 *        81 *      2112 * 0.0046441 * -0.368307 * -0.876116 * -0.311079 * 636.49353 *       750 * 301.99233 * 0.8761160 * 28.822658 * 220.18505 *
*       82 *        82 *      2112 * 0.0160933 * 0.6195635 * -0.775311 * -0.122612 * -30.99022 *       750 * 382.75797 * 0.7753110 * 39.166760 * 348.80571 *
*       83 *        83 *      2112 * 0.0001396 * 0.8142154 * -0.576635 * 0.0674176 * -489.1263 *       750 * -365.0777 * 0.5766350 * 54.785780 * 4.7333337 *
*       84 *        84 *      2112 * 0.0018855 * 0.2799109 * -0.924680 * -0.258101 * 340.20165 *       750 * -27.88199 * 0.9246802 * 22.379815 * 317.32133 *
*       85 *        85 *      2112 * 4.9738825 * -0.000185 * -0.999999 * -0.000143 * 506.01214 *       750 * -390.0582 * 0.9999999 * 0.0134380 * 217.78870 *
*       86 *        86 *      2112 * 0.0010071 * 0.0329319 * -0.999256 * -0.020036 * 419.54113 *       750 * 66.470257 * 0.9992567 * 2.2091921 * 328.68335 *
*       87 *        87 *      2112 * 0.5045099 * 0.0959495 * -0.926436 * -0.364017 * -589.1632 *       750 * 28.513545 * 0.9264368 * 22.113968 * 284.76645 *
*       88 *        88 *      2112 * 0.0001519 * -0.886190 * -0.446644 * -0.123190 * -194.5298 *       750 * -715.7184 * 0.4466441 * 63.471423 * 187.91406 *
*       89 *        89 *      2112 * 0.0007199 * -0.720962 * 0.1111229 * -0.684006 * 392.60607 *       750 * -698.0620 * -0.111122 * 96.380051 * 223.49327 *
*       90 *        90 *      2112 * 0.0028628 * -0.128988 * -0.989156 * 0.0702182 * -622.4644 *       750 * 376.46437 * 0.9891569 * 8.4451452 * 151.43714 *
*       91 *        91 *      2112 * 0.0070536 * 0.8955723 * -0.332751 * 0.2953411 * 25.558043 *       750 * 52.794997 * 0.3327518 * 70.564114 * 18.251480 *
*       92 *        92 *      2112 * 0.0001739 * -0.174876 * -0.795983 * 0.5795076 * -651.9222 *       750 * -517.5810 * 0.7959830 * 37.251794 * 106.79211 *
*       93 *        93 *      2112 * 0.0395550 * 0.4541037 * -0.763693 * 0.4588712 * -157.1971 *       750 * -483.2076 * 0.7636930 * 40.209143 * 45.299193 *
*       94 *        94 *      2112 * 0.0063980 * -0.394659 * -0.188929 * -0.899193 * -68.14635 *       750 * 679.49672 * 0.1889294 * 79.109683 * 246.30313 *
*       95 *        95 *      2112 * 0.0002293 * -0.437980 * -0.858650 * -0.266255 * -391.0088 *       750 * 67.505545 * 0.8586508 * 30.834559 * 211.29608 *
*       96 *        96 *      2112 * 0.0419446 * -0.986219 * 0.1521874 * 0.0648778 * -742.1304 *       750 * 407.36272 * -0.152187 * 98.753711 * 176.23625 *
*       97 *        97 *      2112 * 0.0001302 * -0.708997 * -0.568886 * 0.4167621 * -231.6074 *       750 * -496.4800 * 0.5688868 * 55.327362 * 149.55217 *
*       98 *        98 *      2112 * 0.0006313 * -0.539497 * -0.375394 * 0.7536719 * -151.5866 *       750 * 652.99421 * 0.3753941 * 67.951325 * 125.59606 *
*       99 *        99 *      2112 * 0.0006772 * -0.524016 * -0.846416 * 0.0947900 * 701.41441 *       750 * 267.51831 * 0.8464168 * 32.175936 * 169.74656 *
*      100 *       100 *      2112 * 0.0004653 * -0.027269 * 0.5739290 * 0.8184508 * 298.74786 *       750 * -294.7546 * -0.573929 * 125.02466 * 91.908318 *
