*    Row   *   EventNo * Antineutr * Positron_ * Neutron_K *  Vertex_X *  Vertex_Y *  Vertex_Z * Annihilat * Annihilat * Annihilat * Annihilat *
*       37 *        37 * 5.6284423 * 3.7860925 * 0.0363498 * 258.50663 * -73.19220 * -15.26060 * 248.36643 * -59.23000 * -26.16563 * 0.0794122 *
*       38 *        38 * 4.4932784 * 2.6605716 * 0.0267067 * -248.6914 * -350.9505 * 105.60271 * -241.0151 * -357.2391 * 102.18212 * 0.0557575 *
*       39 *        39 * 3.9681149 * 2.1585744 * 0.0035404 * -450.8842 * 109.44905 * 191.25589 * -450.2256 * 117.01442 * 192.92748 * 0.0409682 *
*       40 *        40 * 4.4025661 * 2.5905917 * 0.0059744 * 106.71483 * 327.47883 * 487.94063 * 105.41091 * 327.96289 * 496.48248 * 0.0470230 *
*       41 *        41 * 3.1957646 * 1.3796696 * 0.0100950 * -295.7337 * -186.7804 * 250.71645 * -293.1743 * -182.6192 * 249.18223 * 0.0256126 *
*       42 *        42 * 5.1619997 * 3.3327407 * 0.0232589 * -484.7410 * 193.96932 * 489.92561 * -496.9296 * 199.29687 * 498.50459 * 0.0628246 *
*       43 *        43 * 3.6824965 * 1.8722952 * 0.0042013 * -178.9311 * -90.56127 * -488.9303 * -182.5811 * -93.71942 * -487.1071 * 0.0286513 *
*       44 *        44 * 3.0404756 * 1.2281192 * 0.0063563 * -393.2632 * 76.873829 * 45.474158 * -393.3521 * 73.522919 * 45.650835 * 0.0189946 *
*       45 *        45 * 2.0950197 * 0.2855409 * 0.0034788 * -221.4322 * 315.76849 * -3.884510 * -221.3658 * 315.18389 * -4.053638 * 0.0043911 *
*       46 *        46 * 2.1786732 * 0.3702711 * 0.0024021 * -53.95048 * 74.108480 * 410.56988 * -54.99654 * 74.393785 * 410.82287 * 0.0064637 *
*       47 *        47 * 2.8224697 * 1.0087184 * 0.0077513 * -445.5475 * -482.0373 * -52.42490 * -445.3541 * -479.4309 * -53.86607 * 0.0180524 *
*       48 *        48 * 3.0163013 * 1.2057725 * 0.0045288 * 157.52866 * -372.5289 * 149.38467 * 156.95877 * -370.1199 * 148.67395 * 0.0221780 *
*       49 *        49 * 2.0755350 * 0.2679196 * 0.0016154 * -330.7644 * -107.3718 * 302.28796 * -330.9675 * -107.6981 * 302.75989 * 0.0041255 *
*       50 *        50 * 7.1663118 * 5.3203017 * 0.0400101 * 138.52522 * 327.76179 * -433.5190 * 156.68642 * 315.68567 * -421.1621 * 0.0978783 *
*       51 *        51 * 5.4825888 * 3.6294168 * 0.0471719 * -487.2141 * -323.9375 * 259.73956 * -482.9143 * -322.2977 * 243.35542 * 0.0671090 *
*       52 *        52 * 6.5687650 * 4.7416912 * 0.0210738 * -314.8942 * 184.74000 * -307.8245 * -331.4864 * 186.48576 * -301.8871 * 0.0903155 *
*       53 *        53 * 4.5620292 * 2.7291783 * 0.0268509 * 261.85978 * 376.31861 * -15.26071 * 266.29781 * 383.18669 * -22.84913 * 0.0553754 *
*       54 *        54 * 4.9239158 * 3.0956033 * 0.0223124 * -264.2572 * 88.439549 * -97.57936 * -273.9689 * 79.247984 * -93.05189 * 0.0622364 *
*       55 *        55 *  5.647849 * 3.8045424 * 0.0373065 * 393.88588 * -200.1223 * -375.3525 * 396.08992 * -203.9551 * -387.2122 * 0.0683754 *
*       56 *        56 * 2.5577932 * 0.7479152 * 0.0038780 * 173.14414 * -28.51278 * 172.16457 * 172.60035 * -27.39356 * 172.35456 * 0.0059531 *
*       57 *        57 * 2.3564348 * 0.5449648 * 0.0054700 * -431.5402 * -263.1505 * 323.34877 * -431.8097 * -263.7244 * 322.04573 * 0.0089738 *
*       58 *        58 * 6.1088096 * 4.2971409 * 0.0056687 * -245.1624 * -463.2407 * 239.36108 * -236.0983 * -457.0436 * 253.41513 * 0.0730920 *
*       59 *        59 * 3.1643900 * 1.3524653 * 0.0059246 * 437.54061 * -445.6150 * 498.75075 *         0 *         0 *         0 *         0 *
*       60 *        60 * 3.9559855 * 2.1313319 * 0.0186536 * 288.04363 * -310.0848 * -233.0406 * 281.94028 * -316.4754 * -230.2824 * 0.0407205 *
*       61 *        61 * 3.5612531 * 1.7461421 * 0.0091110 * -304.5204 * 202.78139 * -8.406545 * -309.3931 * 206.20837 * -7.049730 * 0.0288077 *
*       62 *        62 * 5.5492417 * 3.7219775 * 0.0212641 * -160.2513 * -228.3306 * -131.5393 * -159.7645 * -216.6482 * -135.1607 * 0.0772522 *
*       63 *        63 * 5.1781832 * 3.3306557 * 0.0415274 * 93.521049 * -337.1280 * 278.86244 * 92.780922 * -343.9536 * 271.65343 * 0.0603000 *
*       64 *        64 * 4.7507543 * 2.9127287 * 0.0320255 * -35.67106 * 426.81036 * -165.1382 * -32.77949 * 430.60393 * -175.7180 * 0.0603411 *
*       65 *        65 * 3.9064165 * 2.0842650 * 0.0161515 * -396.2635 * -141.7949 * -299.9524 * -391.0747 * -146.0971 * -302.8726 * 0.0390905 *
*       66 *        66 * 3.6494056 * 1.8288069 * 0.0145987 * 142.91544 * 356.10807 * 61.535441 * 146.80516 * 354.96449 * 60.294510 * 0.0331124 *
*       67 *        67 * 3.2806768 * 1.4614678 * 0.0132089 * 111.95788 * 245.58741 * -463.5803 * 115.93487 * 245.22814 * -468.7784 * 0.0288876 *
*       68 *        68 * 7.1661144 * 5.3511274 * 0.0089869 * 194.69089 * -471.4483 * 226.38573 * 194.37128 * -485.3147 * 247.21600 * 0.1023330 *
*       69 *        69 * 3.3979785 * 1.5781382 * 0.0138403 * 276.96869 * -279.5081 * -432.8479 * 277.58560 * -274.8267 * -437.1518 * 0.0269334 *
*       70 *        70 * 3.8561979 * 2.0354311 * 0.0147668 * 412.83184 * -80.79298 * -465.4528 * 412.49743 * -72.88584 * -468.9432 * 0.0366127 *
*       71 *        71 * 4.0469332 * 2.2197097 * 0.0212234 * -377.9914 * -440.4640 * -157.4114 * -376.5697 * -436.6068 * -156.6928 * 0.0283398 *
*       72 *        72 * 5.0745416 * 3.2629187 * 0.0056228 * -273.2053 * -148.2954 * -64.18690 * -260.7721 * -147.1025 * -60.62932 * 0.0663095 *
*       73 *        73 * 4.6165184 * 2.7905505 * 0.0199679 * -9.211344 * 307.94010 * -26.77006 * -19.78559 * 310.28254 * -23.55299 * 0.0566168 *
*       74 *        74 * 3.7554154 * 1.9298419 * 0.0195735 * -179.3146 * 210.37738 * -250.5855 * -175.9906 *  213.6231 * -258.1134 * 0.0374458 *
*       75 *        75 * 2.7583596 * 0.9498986 * 0.0024610 * -410.2862 * -245.1038 * -311.1219 * -414.2830 * -244.0566 * -310.9700 * 0.0205761 *
*       76 *        76 * 5.2746455 * 3.4572768 * 0.0113687 *  432.1379 * 173.94584 * 420.88155 * 437.10778 * 168.11864 * 430.99991 * 0.0659391 *
*       77 *        77 * 6.5136800 * 4.6379932 * 0.0696868 * -112.0280 *  23.43465 * 86.578950 * -109.4300 * 28.594479 * 76.315526 * 0.0401666 *
*       78 *        78 * 4.1602808 * 2.3480561 * 0.0062246 * 312.11730 * 333.27924 * 222.88607 * 310.85228 * 329.28340 * 229.14442 * 0.0467994 *
*       79 *        79 * 2.0197557 * 0.2105329 * 0.0032227 * 398.03538 * -52.43210 * -387.7798 * 398.01482 * -52.26574 * -388.1592 * 0.0027811 *
*       80 *        80 * 3.1770123 * 1.3640069 * 0.0070054 * -380.7029 * 70.457151 * -197.1945 * -384.0245 * 66.652549 * -196.7483 * 0.0228153 *
*       81 *        81 * 3.8391330 * 2.0299974 * 0.0031355 * 341.08692 * 18.418309 * -425.7172 * 333.65050 * 18.192865 * -424.9781 * 0.0458374 *
*       82 *        82 * 6.1237747 * 4.2735310 * 0.0442436 * 337.90073 * 267.85760 * -429.9979 * 346.59447 * 252.59979 * -442.4623 * 0.0864393 *
*       83 *        83 * 3.3406583 * 1.5225760 * 0.0120822 * 161.42779 * -275.1752 * -95.86646 * 159.89115 * -271.9984 * -97.50106 * 0.0220414 *
*       84 *        84 * 3.3091356 * 1.4988185 * 0.0043170 * 234.30331 * -256.9044 * 477.95026 * 232.00317 * -260.7824 * 482.15146 * 0.0246804 *
*       85 *        85 * 3.9877110 * 2.1734697 * 0.0082413 * -20.06990 * 183.28546 * 83.024543 * -16.23072 * 190.83040 * 85.286943 * 0.0418276 *
*       86 *        86 * 4.4274122 * 2.6169176 * 0.0044946 * -361.8366 * 61.198838 * 367.87657 * -367.5586 * 67.004275 * 374.79391 * 0.0548989 *
*       87 *        87 * 2.5598951 * 0.7513544 * 0.0025407 * 204.42860 * -56.18855 * -433.9566 * 206.53819 * -55.04318 * -432.5079 * 0.0140239 *
*       88 *        88 * 4.8260691 * 3.0030921 * 0.0169770 * 164.00542 * -368.7486 * 157.13765 * 167.35731 * -371.2994 * 165.10260 * 0.0609732 *
*       89 *        89 * 3.2991840 * 1.4905160 * 0.0026680 * -149.8405 * 132.71032 * -289.6825 * -150.6427 * 135.96916 * -286.9257 * 0.0190231 *
*       90 *        90 * 7.3780144 * 5.5010184 * 0.0709959 * -273.1012 * -377.2057 * -378.2593 * -256.5710 * -371.2529 * -400.1446 * 0.1118858 *
*       91 *        91 * 4.3807178 * 2.5716484 * 0.0030694 * -60.28641 * -19.00350 * -50.87030 * -63.50690 * -13.21567 * -45.01737 * 0.0378515 *
*       92 *        92 * 5.1421198 * 3.3257685 * 0.0103512 * 426.50381 * -465.1105 * -192.3931 * 436.65898 * -460.2256 * -190.1789 * 0.0546621 *
*       93 *        93 * 4.0723565 * 2.2512559 * 0.0151005 * -467.9614 * -157.1360 * 244.22514 * -465.5286 * -160.7334 * 243.57143 * 0.0208924 *
*       94 *        94 * 5.3684837 * 3.5581133 * 0.0043704 * -417.2321 * -483.3587 * 326.65679 * -419.7053 * -481.4652 * 343.50501 * 0.0705978 *
*       95 *        95 * 4.7058024 * 2.8680593 * 0.0317430 * -373.5637 * -470.7292 * 90.061587 * -365.9700 * -462.3270 * 87.269664 * 0.0558372 *
*       96 *        96 * 3.3573108 * 1.5485789 * 0.0027319 * -262.7017 * -275.0578 * -365.2106 * -262.6794 * -275.6691 * -360.4480 * 0.0326174 *
*       97 *        97 * 3.1239519 * 1.3124953 * 0.0054566 * 70.287831 * -296.7482 * 231.21144 * 73.474103 * -299.0537 * 234.14622 * 0.0262399 *
*       98 *        98 * 3.7426160 * 1.9269864 * 0.0096295 * -342.5594 * -99.06628 * 413.20202 * -334.9564 * -100.7570 * 411.70205 * 0.0322525 *
*       99 *        99 * 3.2107151 * 1.3915562 * 0.0131589 * 0.8150157 * -93.53100 * -478.1536 * -2.306205 * -93.15299 * -481.9765 * 0.0245155 *
*      100 *       100 * 2.9975746 * 1.1855551 * 0.0060195 * 26.118827 * -182.6469 * 111.99641 * 28.222362 * -181.0241 * 112.90157 * 0.0244422 *
*      101 *       101 * 4.6865339 * 2.8574530 * 0.0230809 * -140.2821 * 114.30546 * 367.70179 * -148.9813 * 108.97757 * 374.53192 * 0.0589952 *
*      102 *       102 * 3.1232967 * 1.3153524 * 0.0019443 * -224.0058 * -202.8113 * 100.30098 * -222.7336 * -201.3167 * 102.86718 * 0.0219760 *
*      103 *       103 * 2.5152677 * 0.7044586 * 0.0048091 * 132.78049 * 297.95094 * 431.74988 * 134.95588 * 299.41212 * 430.82276 * 0.0135084 *
*      104 *       104 * 6.2321144 * 4.4122609 * 0.0138534 * -183.6623 * 113.21890 * 229.25156 * -188.3441 * 129.57435 * 238.25424 * 0.0932480 *
*      105 *       105 * 4.1498255 * 2.3349922 * 0.0088332 * -125.1502 * -316.5041 * -361.3546 * -136.6376 * -316.6855 * -360.6064 * 0.0504918 *
*      106 *       106 * 5.3257288 * 3.4919543 * 0.0277744 * 433.71045 * 408.26986 * -102.0012 * 438.94393 * 425.88280 * -103.4650 * 0.0705363 *
*      107 *       107 * 2.4699999 * 0.6627544 * 0.0012455 * 447.05172 * 309.92664 * -157.1670 * 446.67653 * 309.72744 * -154.6483 * 0.0131372 *
*      108 *       108 * 4.7503741 * 2.9353080 * 0.0090661 * 144.49874 * -324.8585 * 74.324403 * 135.46852 * -318.5393 * 82.946203 * 0.0571481 *
